Year,Country,Gold,Silver,Bronze,Total
1996,Russia,26,21,16,63
1996,Germany,20,18,27,65
1996,France,15,7,15,37
1996,Ukraine,9,2,12,23
1996,Poland,7,5,5,17
1996,Hungary,7,4,10,21
1996,Spain,5,6,6,17
1996,Romania,4,7,9,20
1996,Netherlands,4,5,10,19
1996,Greece,4,4,0,8
1996,Czech Republic,4,3,4,11
1996,Switzerland,4,3,0,7
1996,Denmark,4,1,1,6
1996,Turkey,4,1,1,6
1996,Bulgaria,3,7,5,15
1996,Ireland,3,0,1,4
1996,Sweden,2,4,2,8
1996,Norway,2,2,3,7
1996,Belgium,2,2,2,6
1996,Great Britain,1,8,6,15
1996,Belarus,1,6,8,15
1996,Finland,1,2,1,4
1996,Slovakia,1,1,1,3
1996,Armenia,1,1,0,2
1996,Croatia,1,1,0,2
1996,Portugal,1,0,1,2
1996,Slovenia,0,2,0,2
1996,Austria,0,1,2,3
1996,Moldova,0,1,1,2
1996,Azerbaijan,0,1,0,1
1996,Latvia,0,1,0,1
1996,Georgia,0,0,2,2
1996,Lithuania,0,0,1,1
2000,Russia,32,28,29,89
2000,Germany,13,17,26,56
2000,France,13,14,11,38
2000,Italy,13,8,13,34
2000,Netherlands,12,9,4,25
2000,Great Britain,11,10,7,28
2000,Romania,11,6,9,26
2000,Hungary,8,6,3,17
2000,Poland,6,5,3,14
2000,Bulgaria,5,6,2,13
2000,Greece,4,6,3,13
2000,Sweden,4,5,3,12
2000,Norway,4,3,3,10
2000,Ukraine,3,10,10,23
2000,Belarus,3,3,11,17
2000,Spain,3,3,5,11
2000,Turkey,3,0,2,5
2000,Czech Republic,2,3,3,8
2000,Denmark,2,3,1,6
2000,Finland,2,1,1,4
2000,Austria,2,1,0,3
2000,Lithuania,2,0,3,5
2000,Azerbaijan,2,0,1,3
2000,Slovenia,2,0,0,2
2000,Switzerland,1,6,2,9
2000,Slovakia,1,3,1,5
2000,FR Yugoslavia,1,1,1,3
2000,Latvia,1,1,1,3
2000,Estonia,1,0,2,3
2000,Croatia,1,0,1,2
2000,Belgium,0,2,3,5
2000,Moldova,0,1,1,2
2000,Ireland,0,1,0,1
2000,Georgia,0,0,6,6
2000,Portugal,0,0,2,2
2000,Armenia,0,0,1,1
2000,Iceland,0,0,1,1
2000,Israel,0,0,1,1
2000,Macedonia,0,0,1,1
2004,Russia,28,26,36,90
2004,Germany,13,16,20,49
2004,France,11,9,13,33
2004,Italy,10,11,11,32
2004,Great Britain,9,9,12,30
2004,Hungary,8,6,3,17
2004,Ukraine,8,5,9,22
2004,Romania,8,5,6,19
2004,Greece,6,6,4,16
2004,Norway,5,0,1,6
2004,Netherlands,4,9,9,22
2004,Sweden,4,2,1,7
2004,Spain,3,11,6,20
2004,Turkey,3,3,4,10
2004,Poland,3,2,5,10
2004,Belarus,2,5,6,13
2004,Austria,2,4,1,7
2004,Slovakia,2,2,2,6
2004,Georgia,2,2,0,4
2004,Bulgaria,2,1,9,12
2004,Denmark,2,1,5,8
2004,Czech Republic,1,3,5,9
2004,Croatia,1,2,2,5
2004,Lithuania,1,2,0,3
2004,Switzerland,1,1,3,5
2004,Azerbaijan,1,0,4,5
2004,Belgium,1,0,2,3
2004,Israel,1,0,1,2
2004,Latvia,0,4,0,4
2004,Portugal,0,2,1,3
2004,Finland,0,2,0,2
2004,Serbia and Montenegro,0,2,0,2
2004,Slovenia,0,1,3,4
2004,Estonia,0,1,2,3
2008,Russia,24,13,23,60
2008,Great Britain,19,13,19,51
2008,Germany,16,11,14,41
2008,Italy,8,9,10,27
2008,France,7,16,20,43
2008,Netherlands,7,5,4,16
2008,Ukraine,7,4,11,22
2008,Spain,5,11,3,19
2008,Poland,4,5,2,11
2008,Romania,4,1,4,9
2008,Hungary,3,5,2,10
2008,Belarus,3,4,7,14
2008,Czech Republic,3,3,1,7
2008,Slovakia,3,3,0,6
2008,Georgia,3,2,2,7
2008,Denmark,2,2,3,7
2008,Switzerland,2,1,4,7
2008,Belgium,2,0,0,2
2008,Slovenia,1,2,2,5
2008,Azerbaijan,1,1,4,6
2008,Bulgaria,1,1,3,5
2008,Turkey,1,1,3,5
2008,Finland,1,1,2,4
2008,Latvia,1,1,1,3
2008,Estonia,1,1,0,2
2008,Portugal,1,1,0,2
2008,Sweden,0,4,1,5
2008,Lithuania,0,3,2,5
2008,Croatia,0,2,3,5
2008,Greece,0,2,1,3
2008,Armenia,0,1,4,5
2008,Austria,0,1,2,3
2008,Ireland,0,1,2,3
2008,Serbia,0,1,2,3
2008,Iceland,0,1,0,1
2008,Israel,0,0,1,1
2008,Moldova,0,0,1,1
2012,Great Britain,29,18,18,65
2012,Russia,18,20,26,64
2012,Germany,11,20,13,44
2012,France,11,11,13,35
2012,Italy,8,9,11,28
2012,Hungary,8,4,6,18
2012,Netherlands,6,6,8,20
2012,Ukraine,5,4,10,19
2012,Spain,4,10,6,20
2012,Czech Republic,4,4,3,11
2012,Poland,3,2,6,11
2012,Croatia,3,1,2,6
2012,Belarus,2,5,3,10
2012,Denmark,2,4,3,9
2012,Romania,2,4,1,7
2012,Azerbaijan,2,2,5,9
2012,Switzerland,2,2,0,4
2012,Norway,2,1,1,4
2012,Lithuania,2,0,3,5
